paper_id,title,abstract,year,venue
24f4223c-776f-465d-8490-adb2adb83a76,A Coupled Memcapacitor Emulator-Based Relaxation Oscillator,"This brief proposes a floating emulator circuit for mimicking the dynamic behaviors of flux coupled memcapacitors (MCs) by making use of common off-the-shelf active devices. The equivalent constitutive relation of the coupled MC emulators is theoretically presented in details. The coupled MCs are then utilized to structure new relaxation oscillators (ROs) with the purpose of achieving controllable oscillation frequency and duty cycle. In consideration of different parameter configuration cases, an experimental investigation is carried out using a practical circuit emulating the dual coupled MCs and the ROs. Good agreement between experimental and theoretical results confirms that dual coupled MCs can be utilized to structure ROs with controllability.",2016,IEEE Transactions on Circuits and Systems Ii-express Briefs
a3f7ed45-2e0d-4a6f-a0b1-5786f20e2067,Multilayer In-service Reconfiguration for Network Computing Systems,"We propose a method for multilayer in-service reconfiguration for network computing systems that minimizes the total service downtime. Although both software and hardware virtualization technologies has been proposed for dynamic reconfiguration, each one is currently designed to be executed independently and thus their cooperative operations that dynamically reconfigure both of them have not been well-considered. We have developed a method for multilayer in-service reconfiguration that comprises Ethernet-based distributed device reconfiguration (hardware layer), fine-granular I/O service continuity management (software layer), and their orchestration. Application to the management of a session initiation protocol server system built on distributed resources demonstrated that this method achieves dynamic load balancing in response to call rate increases without any failed calls.",2007,network computing and applications
e7f6ec35-597c-4a74-bc0b-d08577aa254a,Generalized driver steering model based on similarities in visual-based and optimal preview controls,"The paper tackles a problem of modeling a vehicle lateral control performed by human driver. Nowadays, the modeling of driver behavior is a frequently suggested research topic and a lot of different models exist. Here, the steering control models, available in literature are presented and discussed. The similarities in different models are shown and a generalized model is proposed, merging the major different models into the same mathematical structure. Finally, the correspondence of a model is validated using real drivers data collected on a driving simulator.",2016,
d8212c86-c948-4ed9-8890-88bcd1ea45a8,Coordinated Distributed MPC for Load Frequency Control of Power System With Wind Farms,"Load frequency control (LFC) is crucial for the operation and design of modern electric power systems. This becomes quite challenging, as more wind power is included into the power system. This paper proposes a coordinated distributed model predictive control (DMPC) for the LFC of a power system that includes inherently variable wind-power generations. This DMPC communicates power system measurement and prediction data, and considers the information of other controllers for their local objective to realize effective coordination. The controllers solve the optimization problem while considering given constraints, e.g., generation rate constraints, wind speed, pitch angle, and load input constraints for each area. Since the wind-power output depends largely on the wind speed, different optimization modes for the DMPC were used. Both simulation and experimental tests of a four-area interconnected power system LFC, which consists of thermal plants, hydro units, and a wind farm, demonstrate the improved efficiency of the coordinated DMPC.",2017,IEEE Transactions on Industrial Electronics
00db2424-6158-4057-abd8-3e7dc01ea3f4,Modeling energy availability in RF Energy Harvesting Networks.,,2016,international symposium on wireless communication systems
5c94d5ac-a9e6-4c1a-bce9-263e889aed59,Acceptable Mismatch Between Scaled 3D Images and Tactile Stimulation,"This paper clarifies the acceptable scaling range of visual three-dimensional (3D) images for a constant tactile stimulation. Using a Fresnel lens and a wideband vibrotactile device, we changed the magnification of 3D images while keeping tactile feedback signals constant in collision events. The tested events were collisions between a rigid object in a subject's hand and three types of balls hung as pendulums. The results showed that there is an acceptable range for each event and the ranges were comparable throughout the experi- ments. The results presented here provide the basic knowledge for practical 3D tactile visual displays in mid-air.",2016,
cc491405-dcde-4974-99a2-9474698513ac,Efficient Parity Update for Scaling RAID-like Storage Systems,"It is inevitable to scale RAID systems with the increasing demand of storage capacity and I/O throughput. When scaling RAID systems, we will always need to update parity to maintain the reliability of the storage systems. There are two schemes, read-modify-write (RMW) and read-reconstruct-write (RCW), to update parity. However most existing scaling approaches simply use RMW to update parity. While in many scenarios for existing scaling approaches, RCW performs better in terms of the number of scaling I/Os. In this paper, we propose an algorithm, called EPU, to analyze which of RCW and RMW is better for a scaling scenario and select the more efficient one to save the scaling I/Os. We apply EPU to online scaling scenarios and further use two optimizations, I/O overlap and access aggregation, to enhance the online scaling performance. Using Scale-CRS, one of the existing scaling approaches, as an example, we show via numerical studies that Scale-CRS+EPU reduces the amount of scaling I/Os over the traditional Scale-CRS in many scaling cases. To justify the online efficiency of EPU, we implement both Scale-CRS+EPU and Scale-CRS in a simulator with Disksim as a working module. Through extensive experiments, we show that Scale-CRS+EPU reduces the scaling time and the online response time of user requests over Scale-CRS.",2016,international conference on networking
59a5287a-c483-48c4-91c4-30083da3c527,Equalization Techniques for Multiple-Valued Data Transmission and Their Application,"The performance of recent high-speed VLSI systems is significantly limited by the interconnection bandwidth inside/between chips relative to individual transistor performance. However, the attenuation or deterioration of signals, arises from physical phenomena in transmission lines, restricts the maximum frequency at which the signal can transmit. This paper investigates data recovery techniques especially for multiple-valued data transmission in order to achieve high-speed data transmission in VLSI systems. We discuss various types of equalization techniques including inductive-coupling wireless communication to compensate for the frequency-dependent loss of wiring, resulting in improving a data transfer rate.",2007,international symposium on multiple valued logic
c62feade-aa42-4caf-8a6b-8cfb81b761dd,Interpreting maps of science using citation context sentiments: a preliminary investigation,"It is proposed that citation contexts, the text surrounding references in scientific papers, be analyzed in terms of an expanded notion of sentiment, defined to include attitudes and dispositions toward the cited work. Maps of science at both the specialty and global levels are used as the basis of this analysis. Citation context samples are taken at these levels and contrasted for the appearance of cue word sets, analyzed with the aid of methods from corpus linguistics. Sentiments are shown to vary within a specialty and can be understood in terms of cognitive and social factors. Within-specialty and between-specialty co-citations are contrasted and in some cases suggest a correlation of sentiment with structural location. For example, the sentiment of ""uncertainty"" is important in interdisciplinary co-citation links, while ""utility"" is more prevalent within the specialty. Suggestions are made for linking sentiments to technical terms, and for developing sentiment ""baselines"" for all of science.",2011,Scientometrics
089083c7-0967-4fef-a935-1f378d815d06,Maximizing diversity in biology and beyond,"Entropy, under a variety of names, has long been used as a measure of diversity in ecology, as well as in genetics, economics and other fields. There is a spectrum of viewpoints on diversity, indexed by a real parameter q giving greater or lesser importance to rare species. Leinster and Cobbold (2012) proposed a one-parameter family of diversity measures taking into account both this variation and the varying similarities between species. Because of this latter feature, diversity is not maximized by the uniform distribution on species. So it is natural to ask: which distributions maximize diversity, and what is its maximum value? In principle, both answers depend on q, but our main theorem is that neither does. Thus, there is a single distribution that maximizes diversity from all viewpoints simultaneously, and any list of species has an unambiguous maximum diversity value. Furthermore, the maximizing distribution(s) can be computed in finite time, and any distribution maximizing diversity from some particular viewpoint q g 0 actually maximizes diversity for all q. Although we phrase our results in ecological terms, they apply very widely, with applications in graph theory and metric geometry.",2016,Entropy
