paper_id,author_name
24f4223c-776f-465d-8490-adb2adb83a76,Dongsheng Yu
24f4223c-776f-465d-8490-adb2adb83a76,Zhi Zhou
24f4223c-776f-465d-8490-adb2adb83a76,Herbert Ho-Ching Iu
24f4223c-776f-465d-8490-adb2adb83a76,Tyrone Fernando
24f4223c-776f-465d-8490-adb2adb83a76,Yihua Hu
a3f7ed45-2e0d-4a6f-a0b1-5786f20e2067,Nobuharu Kami
a3f7ed45-2e0d-4a6f-a0b1-5786f20e2067,Jun Suzuki
a3f7ed45-2e0d-4a6f-a0b1-5786f20e2067,Yoichi Hidaka
a3f7ed45-2e0d-4a6f-a0b1-5786f20e2067,Takashi Yoshikawa
a3f7ed45-2e0d-4a6f-a0b1-5786f20e2067,Atsushi Iwata
e7f6ec35-597c-4a74-bc0b-d08577aa254a,Sergey Abrashov
e7f6ec35-597c-4a74-bc0b-d08577aa254a,Mathieu Moze
e7f6ec35-597c-4a74-bc0b-d08577aa254a,Xavier Moreau
e7f6ec35-597c-4a74-bc0b-d08577aa254a,Rachid Malti
e7f6ec35-597c-4a74-bc0b-d08577aa254a,Francois Aioun
e7f6ec35-597c-4a74-bc0b-d08577aa254a,Franck Guillemard
d8212c86-c948-4ed9-8890-88bcd1ea45a8,Xiangjie Liu
d8212c86-c948-4ed9-8890-88bcd1ea45a8,Yi Zhang
d8212c86-c948-4ed9-8890-88bcd1ea45a8,Kwang Y. Lee
00db2424-6158-4057-abd8-3e7dc01ea3f4,Daniela Oliveira
00db2424-6158-4057-abd8-3e7dc01ea3f4,Rodolfo Oliveira
5c94d5ac-a9e6-4c1a-bce9-263e889aed59,Ryota Arai
5c94d5ac-a9e6-4c1a-bce9-263e889aed59,Yasutoshi Makino
5c94d5ac-a9e6-4c1a-bce9-263e889aed59,Hiroyuki Shinoda
cc491405-dcde-4974-99a2-9474698513ac,Dongdong Sun
cc491405-dcde-4974-99a2-9474698513ac,Yinlong Xu
cc491405-dcde-4974-99a2-9474698513ac,Yongkun Li
cc491405-dcde-4974-99a2-9474698513ac,Si Wu
cc491405-dcde-4974-99a2-9474698513ac,Chengjin Tian
59a5287a-c483-48c4-91c4-30083da3c527,Yasushi Yuminaka
59a5287a-c483-48c4-91c4-30083da3c527,Kazuyoshi Yamamura
c62feade-aa42-4caf-8a6b-8cfb81b761dd,Henry Small
089083c7-0967-4fef-a935-1f378d815d06,Tom Leinster
089083c7-0967-4fef-a935-1f378d815d06,Mark W. Meckes
73ee0ae3-00b6-4339-8a1a-23a78132155b,Sofia Ananieva
73ee0ae3-00b6-4339-8a1a-23a78132155b,Matthias Kowal
73ee0ae3-00b6-4339-8a1a-23a78132155b,Thomas Thüm
73ee0ae3-00b6-4339-8a1a-23a78132155b,Ina Schaefer
8f9ea7c1-5c16-4ac3-9830-445a30330562,Elad Dokow
8f9ea7c1-5c16-4ac3-9830-445a30330562,Ron Holzman
c0bcfaab-7719-4df0-a3b4-b7ccd01ebbd9,Marta Sagastume
c0bcfaab-7719-4df0-a3b4-b7ccd01ebbd9,Hernán Javier San Martín
f40524b9-6ea8-46b9-a961-7951eb9bcda5,Manfred Pützer
f40524b9-6ea8-46b9-a961-7951eb9bcda5,Wolfgang Wokurek
a634125a-79de-437a-a812-9cc5611fceaf,Trong Duy Nguyen
a634125a-79de-437a-a812-9cc5611fceaf,King-Jet Tseng
a634125a-79de-437a-a812-9cc5611fceaf,Shao Zhang
a634125a-79de-437a-a812-9cc5611fceaf,Hoan Thong Nguyen
fa2bb10e-7ba4-4fdb-ad47-8ca70c8299c9,Burhan Khan
fa2bb10e-7ba4-4fdb-ad47-8ca70c8299c9,Asim Bhatti
fa2bb10e-7ba4-4fdb-ad47-8ca70c8299c9,Michael Johnstone
fa2bb10e-7ba4-4fdb-ad47-8ca70c8299c9,Samer Hanoun
fa2bb10e-7ba4-4fdb-ad47-8ca70c8299c9,Douglas C. Creighton
fa2bb10e-7ba4-4fdb-ad47-8ca70c8299c9,Saeid Nahavandi
b47b23a5-cb00-4fc1-93f7-4a230b6754b2,Zhang-Hua Fu
b47b23a5-cb00-4fc1-93f7-4a230b6754b2,Jin-Kao Hao
628114df-b256-4905-9a31-9e8e0420c398,Shuyan Zhao
628114df-b256-4905-9a31-9e8e0420c398,Rolf-Rainer Grigat
109f0e82-7277-48a0-8a16-cd727a0cbd28,Won-Young Uhm
109f0e82-7277-48a0-8a16-cd727a0cbd28,Keun-Kwan Ryu
109f0e82-7277-48a0-8a16-cd727a0cbd28,Sung-Chan Kim
